106學年度空大及大專校院附設進修學校名錄,,,,,,
,,,,,,
代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
1A45,龍華科技大學附進修學院,私立,[03]桃園市,[333]桃園市龜山區萬壽路一段三○○號,(02)29023211,
1A46,景文科技大學附進修學院,私立,[01]新北市,[231]新北市新店區安忠路九九號,(02)82122000,
1A47,南台科技大學附進修學院,私立,[11]臺南市,[710]臺南市永康區尚頂里南台街一號,(06)2533131,
1A48,臺北城市科技大學附進修學院,私立,[42]臺北市,[112]臺北市北投區學園路2號,(02)28927154,
1A49,德明財經科技大學附進修學院,私立,[40]臺北市,[114]臺北市內湖區環山路一段五六號,(02)26585801,
1A50,中國科技大學附進修學院,私立,[38]臺北市,[116]臺北市文山區興隆路三段56號,(02)29313416,
1A51,致理科技大學附進修學院,私立,[01]新北市,[220]新北市板橋區文化路一段313號,(02)22576167,
1A52,醒吾科技大學附進修學院,私立,[01]新北市,[244]新北市林口區粉寮路一段101號,(02)26015310,
1A53,萬能科技大學附進修學院,私立,[03]桃園市,[320]桃園市中壢區萬能路1號,(03)4515811,
1A54,南亞技術學院附進修學院,私立,[03]桃園市,[320]桃園市中壢區中山東路三段414號,(03)4361070,
1A55,健行科技大學附進修學院,私立,[03]桃園市,[320]桃園市中壢區健行路229號,(03)4581196,
1A56,明新科技大學附進修學院,私立,[04]新竹縣,[304]新竹縣新豐鄉新興路1號,(03)5593142,
1A57,修平科技大學附進修學院,私立,[06]臺中市,[412]臺中市大里區工業路11號,(04)24961100,
1A58,環球科技大學附進修學院,私立,[09]雲林縣,[640]雲林縣斗六市嘉東里鎮南路1221號,(05)5370988,
1A59,吳鳳科技大學附進修學院,私立,[10]嘉義縣,[621]嘉義縣民雄鄉建國路二段117號,(05)2267125,
1A60,崑山科技大學附進修學院,私立,[11]臺南市,[710]臺南市永康區崑大路195號,(06)2727175,
1A61,遠東科技大學附進修學院,私立,[11]臺南市,[744]臺南市新市區中華路四九號,(06)5979566,
1A62,美和科技大學附進修學院,私立,[13]屏東縣,[912]屏東縣內埔鄉美和村屏光路23號,(08)7799821,
1A63,大仁科技大學附進修學院,私立,[13]屏東縣,[907]屏東縣鹽埔鄉新二村維新路20號,(08)7624002,
1A64,蘭陽技術學院附進修學院,私立,[02]宜蘭縣,[261]宜蘭縣頭城鎮復興路79號,(03)9771997,
1A65,經國管理暨健康學院附進修學院,私立,[17]基隆市,[203]基隆市中山區復興路336號,(02)24372093,
1A66,東南科技大學附進修學院,私立,[01]新北市,[222]新北市深坑區北深路三段一五二號,(02)86625900,
1A67,崇右影藝科技大學附進修學院,私立,[17]基隆市,[201]基隆市信義區義七路40號,(02)24237785,
1A68,南開科技大學附進修學院,私立,[08]南投縣,[542]南投縣草屯鎮中正路568號,(049)2563489,
1A70,亞太創意技術學院附進修學院,私立,[05]苗栗縣,[351]苗栗縣頭份市珊湖里學府路110號 ,(037)605500,
1A71,嘉南藥理大學附進修學院,私立,[11]臺南市,[717]臺南市仁德區二仁路一段60號,(06)2664911,
1A72,元培醫事科技大學附進修學院,私立,[18]新竹市,[300]新竹市香山區元培街306號,(03)5381183,
1A74,樹人醫護管理專科學校附進修專校,私立,[12]高雄市,[821]高雄市路竹區環球路452號,(07)6979333,
1A75,元培醫事科技大學附進修專校,私立,[18]新竹市,[300]新竹市香山區元培街306號,(03)5381183,
1A76,東方設計大學附進修學院,私立,[12]高雄市,[829]高雄市湖內區東方路110號,(07)6932011,
1A77,華夏科技大學附進修學院,私立,[01]新北市,[235]新北市中和區工專路111號,(02)89415100,
1A78,華夏科技大學附進修專校,私立,[01]新北市,[235]新北市中和區工專路111號,(02)89415100,
1A79,樹德科技大學附進修專校,私立,[12]高雄市,[824]高雄市燕巢區橫山里橫山路五九號,(07)6158000,
1A80,中臺科技大學附進修學院,私立,[19]臺中市,[406]臺中市北屯區大坑廓子里一一號,(04)22391647,
1A82,慈濟科技大學附進修學院,私立,[15]花蓮縣,[970]花蓮縣花蓮市建國路二段880號,(03)8572158,
1A83,台北海洋科技大學附進修專校,私立,[01]新北市,[251]新北市淡水區濱海路三段150號,(02)28052088,
1A84,台北海洋科技大學附進修學院,私立,[01]新北市,[251]新北市淡水區濱海路三段150號,(02)28052088,
3A01,高雄市立空中大學,公立,[61]高雄市,[812]高雄市小港區大業北路436號,(07)8012008,http://www.ouk.edu.tw
