代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
210C01,國立成功大學附設高工進修學校,公立,[21]臺南市,[701]臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw
140222,國立臺東專科學校附設進修學校,公立,[14]臺東縣,[950]臺東縣臺東市正氣北路889號,(089)226389,http://ce.ntc.edu.tw
