代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
011C71,私立光華高商進修學校,私立,[01]新北市,[220]新北市板橋區南雅南路二段40號,(02)89522255,http://www.khvs.ntpc.edu.tw
351B09,私立南華高中進修學校,私立,[35]臺北市,[100]臺北市中正區富水里汀州路3段58號,(02)23686818,http://www.nhwsh.tp.edu.tw
361B09,私立志仁中學進修學校,私立,[36]臺北市,[103]臺北市大同區建泰里南京西路64巷17號,(02)25551656,http://www.cjvs.tp.edu.tw
